timestamp,open,high,low,close,volume
2019-05-10,2358.0000,2363.0000,2271.4000,2296.7500,922598
2019-05-03,2280.1000,2376.0000,2279.7000,2368.8000,823820
2019-04-26,2330.0000,2330.0000,2242.1500,2275.2500,2137678
2019-04-18,2266.1000,2315.0000,2265.0000,2290.1500,2350968
2019-04-12,2315.0000,2322.9500,2237.0000,2265.1500,4201696
2019-04-05,2325.0000,2332.3500,2280.0500,2301.7500,1555600
2019-03-29,2269.7500,2327.0000,2257.3000,2316.5000,2213956
2019-03-22,2260.5500,2306.7500,2250.3000,2274.8500,1433656
2019-03-15,2128.5500,2260.0000,2122.0000,2251.5000,1404826
2019-03-08,2094.0000,2130.8000,2070.2500,2127.6000,988054
2019-03-01,2098.4500,2127.5000,2076.0500,2083.2000,773530
2019-02-22,2103.0500,2124.9000,2078.1500,2091.6500,883888
2019-02-15,2123.0000,2154.3500,2078.6000,2101.1000,1197924
2019-02-08,2099.0000,2142.8000,2083.0000,2123.1500,790890
2019-02-01,2099.0000,2117.0000,2023.0000,2091.6500,2504780
2019-01-25,2149.0000,2173.0000,2090.1000,2093.9500,1142092
2019-01-18,2114.5500,2139.7500,2097.0000,2131.2000,6417658
2019-01-11,2125.0500,2134.0000,2097.6000,2112.1500,629840
2019-01-04,2137.0000,2150.0000,2105.9000,2117.7500,918838
2018-12-28,2110.0000,2139.8000,2070.6000,2122.9000,614734
2018-12-21,2109.0000,2158.1500,2099.2000,2111.5000,831806
2018-12-14,2070.0000,2123.9000,2032.1500,2093.7500,844932
2018-12-07,2122.2500,2140.7000,2076.2000,2105.6500,1850160
2018-11-30,2017.0000,2137.5000,2009.9500,2117.1500,3713658
2018-11-22,2010.0000,2034.9000,2000.0000,2005.4500,536180
2018-11-16,1950.0000,2010.0000,1910.3000,1998.9000,1073462
2018-11-09,1958.0000,1959.0000,1940.0000,1949.6500,91624
2018-11-06,1955.0000,1976.0000,1937.1500,1950.9500,351554
2018-11-02,1963.0000,1963.1000,1884.4000,1946.9000,11207956
2018-10-26,2005.3000,2020.4500,1948.4000,1962.2500,915188
