price,date,volume
MYR RM3.75,"Apr 22, 2022",982K
MYR RM3.80,"Apr 29, 2022",2.4M
MYR RM3.80,"Apr 29, 2022",2.4M
MYR RM3.55,"May 6, 2022",944K
MYR RM3.55,"May 6, 2022",944K
MYR RM3.55,"May 6, 2022",944K
MYR RM3.56,"May 13, 2022",1.8M
MYR RM3.56,"May 13, 2022",1.8M
MYR RM3.63,"May 20, 2022",808K
MYR RM3.63,"May 20, 2022",808K
MYR RM3.68,"May 27, 2022",1.2M
MYR RM3.68,"May 27, 2022",1.2M
MYR RM3.68,"May 27, 2022",1.2M
MYR RM3.91,"Jun 3, 2022",2.1M
MYR RM3.91,"Jun 3, 2022",2.1M
MYR RM3.82,"Jun 10, 2022",787K
MYR RM3.82,"Jun 10, 2022",787K
MYR RM3.62,"Jun 17, 2022",1.6M
MYR RM3.62,"Jun 17, 2022",1.6M
MYR RM3.62,"Jun 17, 2022",1.6M
MYR RM3.55,"Jun 24, 2022",1.8M
MYR RM3.55,"Jun 24, 2022",1.8M
MYR RM3.55,"Jul 1, 2022",924K
MYR RM3.55,"Jul 1, 2022",924K
MYR RM3.40,"Jul 8, 2022",1.8M
MYR RM3.40,"Jul 8, 2022",1.8M
MYR RM3.40,"Jul 8, 2022",1.8M
MYR RM3.34,"Jul 15, 2022",1.1M
MYR RM3.34,"Jul 15, 2022",1.1M
MYR RM3.70,"Jul 22, 2022",1.3M
MYR RM3.70,"Jul 22, 2022",1.3M
MYR RM3.70,"Jul 22, 2022",1.3M
MYR RM3.85,"Jul 29, 2022",2.8M
MYR RM3.85,"Jul 29, 2022",2.8M
MYR RM3.81,"Aug 5, 2022",1.9M
MYR RM3.81,"Aug 5, 2022",1.9M
MYR RM3.80,"Aug 12, 2022",1.6M
MYR RM3.80,"Aug 12, 2022",1.6M
MYR RM3.80,"Aug 12, 2022",1.6M
MYR RM3.67,"Aug 19, 2022",699K
MYR RM3.67,"Aug 19, 2022",699K
MYR RM3.68,"Aug 26, 2022",552K
MYR RM3.68,"Aug 26, 2022",552K
MYR RM3.64,"Sep 2, 2022",666K
MYR RM3.64,"Sep 2, 2022",666K
MYR RM3.64,"Sep 2, 2022",666K
MYR RM3.65,"Sep 9, 2022",1.2M
MYR RM3.65,"Sep 9, 2022",1.2M
MYR RM3.80,"Sep 15, 2022",478K
MYR RM3.80,"Sep 15, 2022",478K
MYR RM3.68,"Sep 23, 2022",1M
MYR RM3.68,"Sep 23, 2022",1M
MYR RM3.68,"Sep 23, 2022",1M
MYR RM3.62,"Sep 30, 2022",898K
MYR RM3.62,"Sep 30, 2022",898K
MYR RM3.69,"Oct 7, 2022",1.6M
MYR RM3.69,"Oct 7, 2022",1.6M
MYR RM3.48,"Oct 14, 2022",2.4M
MYR RM3.48,"Oct 14, 2022",2.4M
MYR RM3.48,"Oct 14, 2022",2.4M
MYR RM3.50,"Oct 21, 2022",1.9M
MYR RM3.50,"Oct 21, 2022",1.9M
MYR RM3.50,"Oct 28, 2022",1.4M
MYR RM3.50,"Oct 28, 2022",1.4M
MYR RM3.49,"Nov 4, 2022",1.8M
MYR RM3.49,"Nov 4, 2022",1.8M
